text,DESTINATION,DEPARTURE,DATE,TIME
تاكسي من المنزل إلى المدينة الأولمبية يوم غدا,المدينة الأولمبية,المنزل,غدا,
أريد الانتقال من المكتب إلى الزهور الأحد القادم,الزهور,المكتب,الأحد القادم,
vous pouvez me conduire de mon hôtel a le bardo mercredi,le bardo,mon hôtel,mercredi,
vous pouvez me conduire de mon bureau a ez-zouhour le 22 novembre,ez-zouhour,mon bureau,le 22 novembre,
3aybni taxi men funduk lel sfax 7 octobre,sfax,funduk,7 octobre,
I have to reach bizerte march 20th before 9h30,bizerte,,march 20th,9h30
I need a taxi to tunis tonight,tunis,,tonight,
je dois etre a gabès pour 21h,gabès,,,21h
heading to beja march 20th at 17h30,beja,,march 20th,17h30
drop me at djerba from sfax next sunday,djerba,sfax,next sunday,
taxi men el-maktab lel kebili 10 septembre 13h30,kebili,el-maktab,10 septembre,13h30
fama taxi lel hammamet el-talata,hammamet,,el-talata,
nemchi medenine 7h,medenine,,,7h
أحتاج أن أصل إلى القيروان الأربعاء,القيروان,,الأربعاء,
خذني إلى المرزكة 7 أكتوبر في 11h30,المرزكة,,7 أكتوبر,11h30
combien pour aller de mon bureau a ez-zouhour le 3 mai 9h30,ez-zouhour,mon bureau,le 3 mai,9h30
هل يمكنني الذهاب إلى المطار غدا في الظهر,المطار,,غدا,الظهر
need to get to djerba by monday,djerba,,monday,
je dois etre a l'aéroport pour 13h,l'aéroport,,,13h
أحتاج أن أصل إلى البحيرة 15 جوان,البحيرة,,15 جوان,
aller a mrezga lundi,mrezga,,lundi,
خذني إلى الكاف الساعة الظهر,الكاف,,,الظهر
I need a ride from the hotel to gafsa april 8th at 6h,gafsa,the hotel,april 8th,6h
can you get me to gabes by 11h30 on this sunday,gabes,,this sunday,11h30
fama taxi lel kef ba3d ghodwa,kef,,ba3d ghodwa,
nemchi bizerte 12h,bizerte,,,12h
nemchi sidi bouzid tawwa fel 18h,sidi bouzid,,tawwa,18h
emmene moi a le lac ce soir a 11h,le lac,,ce soir,11h
taxi de mon hôtel a la cité olympique aujourd'hui,la cité olympique,mon hôtel,aujourd'hui,
a cab to the airport this sunday at 6h30 please,the airport,,this sunday,6h30
pouvez vous m amener a yasmine hammamet aujourd'hui a 14h,yasmine hammamet,,aujourd'hui,14h
taxi lel beja 7 octobre,beja,,7 octobre,
book a ride to tunis wednesday at afternoon,tunis,,wednesday,afternoon
aller a sidi bou saïd lundi,sidi bou saïd,,lundi,
taxi lel sidi thabet,sidi thabet,,,
take me to city center at 8h,city center,,,8h
المكتب المرزكة غدا,المرزكة,المكتب,غدا,
I want to go to mrezga april 8th,mrezga,,april 8th,
nemchi el aouina nhar el-jemaa el-jay fel 16h30,el aouina,,nhar el-jemaa el-jay,16h30
khodni lel sidi thabet,sidi thabet,,,
3aybni taxi kasserine 22 novembre 20h,kasserine,,22 novembre,20h
tnajem tjibli taxi lel kef 22 novembre nouss el-lil,kef,,22 novembre,nouss el-lil
taxi la marsa to sidi bou said thursday,sidi bou said,la marsa,thursday,
المحطة قفصة الاثنين,قفصة,المحطة,الاثنين,
3aybni taxi ba3d ghodwa fel 16h30,,,ba3d ghodwa,16h30
هل يوجد تاكسي من المرسى إلى سيدي بوزيد 28 جويلية 15h,سيدي بوزيد,المرسى,28 جويلية,15h
احجز لي تاكسي إلى القصرين يوم 15 جوان في 11h30,القصرين,,15 جوان,11h30
from office to carthage friday,carthage,office,friday,
3aybni taxi bizerte 3 mai 9h,bizerte,,3 mai,9h
I have to reach the lake tomorrow before 23h,the lake,,tomorrow,23h
djerba next saturday 11h30,djerba,,next saturday,11h30
تاكسي إلى سليانة 31 ديسمبر في 11h,سليانة,,31 ديسمبر,11h
can you get me to downtown by 13h on this saturday,downtown,,this saturday,13h
carthage mardi 8h,carthage,,mardi,8h
taxi to gabes,gabes,,,
khodni men el-maktab lel gafsa 10 septembre,gafsa,el-maktab,10 septembre,
kef tawwa,kef,,,
khodni men hotel lel mahdia el-sebt 13h,mahdia,hotel,el-sebt,13h
khodni men bureau lel cite olimpik nhar el-jemaa el-jay leyl,cite olimpik,bureau,nhar el-jemaa el-jay,leyl
vous pouvez me conduire de mon bureau a bizerte le 14 février,bizerte,mon bureau,le 14 février,
trajet la marsa sidi thabet dimanche,sidi thabet,la marsa,dimanche,
je pars de la gare pour mahdia le 20 mars,mahdia,la gare,le 20 mars,
nemchi gare el-itnin fel ba3d dhuhr,gare,,el-itnin,ba3d dhuhr
khodni men funduk lel gafsa 28 juillet,gafsa,funduk,28 juillet,
خذني إلى الكاف الساعة 7h,الكاف,,,7h
taxi lel gafsa el-khamis,gafsa,,el-khamis,
the station to city center this friday,city center,the station,this friday,
I want to go to manouba next friday at afternoon,manouba,,next friday,afternoon
fama taxi yekhdhem men hotel lel manouba el-ahad 7h,manouba,hotel,el-ahad,7h
I need a cab from home to hammamet this friday,hammamet,home,this friday,
خذني من المكتب إلى تطاوين 7 أكتوبر الساعة 7h30,تطاوين,المكتب,7 أكتوبر,7h30
please take me to tataouine this january 1st at noon,tataouine,,january 1st,noon
خذني إلى قرطاج الجمعة في 11h30,قرطاج,,الجمعة,11h30
تاكسي إلى ياسمين الحمامات في 15h30,ياسمين الحمامات,,,15h30
schedule a taxi to tataouine for today at 10h30,tataouine,,today,10h30
est ce qu il y a un taxi pour sidi thabet le 1er janvier a 12h30,sidi thabet,,le 1er janvier,12h30
taxi lel kairouan 6h30,kairouan,,,6h30
تاكسي إلى قمرت في منتصف الليل,قمرت,,,منتصف الليل
رحلة من قرطاج إلى سيدي بوزيد الأربعاء,سيدي بوزيد,قرطاج,الأربعاء,
heading to nabeul this saturday at 9h,nabeul,,this saturday,9h
besoin d un taxi de la gare pour mrezga samedi,mrezga,la gare,samedi,
je dois etre a l aeroport mercredi avant 14h30,l aeroport,,mercredi,14h30
emmene moi a l aeroport,l aeroport,,,
khodni men funduk lel carthage 7 octobre 17h,carthage,funduk,7 octobre,17h
how much from my office to the station next sunday,the station,my office,next sunday,
taxi lel sidi thabet,sidi thabet,,,
I need a cab leaving la marsa going to monastir next monday at 19h30,monastir,la marsa,next monday,19h30
3aybni taxi men funduk lel sidi thabet ghodwa,sidi thabet,funduk,ghodwa,
khodni siliana el-jemaa,siliana,,el-jemaa,
ezzouhour 2 aout,ezzouhour,,2 aout,
أريد الذهاب إلى باردو,باردو,,,
khodni cite olimpik fel 10h,cite olimpik,,,10h
going to carthage,carthage,,,
reserver un taxi lundi 10h30 pour gafsa,gafsa,,lundi,10h30
wein taxi lel ariana,ariana,,,
nemchi sidi thabet min funduk 2 aout,sidi thabet,funduk,2 aout,
je pars de la gare pour le kef vendredi prochain,le kef,la gare,vendredi prochain,
تاكسي إلى الزهور غدا,الزهور,,غدا,
please take me to kasserine this monday at 23h,kasserine,,monday,23h
أريد الانتقال من الفندق إلى الزهور السبت,الزهور,الفندق,السبت,
I need to be at city center on july 28th at 18h,city center,,july 28th,18h
take me from the station to yasmine hammamet next friday,yasmine hammamet,the station,next friday,
emmene moi a bizerte,bizerte,,,
taxi to medenine,medenine,,,
I have to reach yasmine hammamet august 2nd before 20h,yasmine hammamet,,august 2nd,20h
taxi lel sidi bou said 13h30,sidi bou said,,,13h30
khodni mahdia el-itnin,mahdia,,el-itnin,
taxi de la marsa a ariana mardi,ariana,la marsa,mardi,
j ai besoin d un taxi pour nabeul jeudi a 8h,nabeul,,jeudi,8h
nheb nemchi mrezga el-ahad,mrezga,,el-ahad,
من المكتب إلى أريانة 31 ديسمبر 20h,أريانة,المكتب,31 ديسمبر,20h
أريد الذهاب إلى توزر الأحد القادم 8h30,توزر,,الأحد القادم,8h30
أريد الانتقال من قرطاج إلى سيدي ثابت الأربعاء,سيدي ثابت,قرطاج,الأربعاء,
pouvez vous me prendre a la marsa pour aller a ariana lundi prochain 16h30,ariana,la marsa,lundi prochain,16h30
أريد الانتقال من المرسى إلى سيدي بوسعيد 10 سبتمبر,سيدي بوسعيد,المرسى,10 سبتمبر,
احتاج تاكسي من المكتب إلى الزهور السبت في 9h30,الزهور,المكتب,السبت,9h30
taxi lel medenine,medenine,,,
nemchi djerba tawwa,djerba,,,
I need to be at the train station on wednesday at 16h30,the train station,,wednesday,16h30
taxi pour bizerte mardi,bizerte,,mardi,
أنا ذاهب إلى سوسة 15 جوان,سوسة,,15 جوان,
fama taxi lel sidi bou said nhar el-itnin el-jay,sidi bou said,,nhar el-itnin el-jay,
trajet mon bureau gabès mardi,gabès,mon bureau,mardi,
chkoun ynajem yakhdheni men dar lel sidi bouzid el-ahad,sidi bouzid,dar,el-ahad,
je dois arriver a le kef le 15 juin a 14h,le kef,,le 15 juin,14h
تاكسي إلى المرزكة,المرزكة,,,
3aybni taxi sousse el-talata 12h,sousse,,el-talata,12h
taxi pour la cité olympique,la cité olympique,,,
هل يمكنني الذهاب إلى سليانة الأربعاء في 11h,سليانة,,الأربعاء,11h
nemchi beja 3 mai fel 17h30,beja,,3 mai,17h30
roh la marsa 22 novembre 23h 3andek,la marsa,,22 novembre,23h
wein taxi lel cite olimpik,cite olimpik,,,
j ai besoin d un taxi pour le kef dimanche prochain a matin,le kef,,dimanche prochain,matin
from la marsa to kebili on day after tomorrow at midnight,kebili,la marsa,day after tomorrow,midnight
please take me to sidi bou said this this sunday at 19h30,sidi bou said,,this sunday,19h30
lazem nemchi el aouina ghodwa,el aouina,,ghodwa,
أحتاج أن أصل إلى جندوبة اليوم,جندوبة,,اليوم,
please take me to sidi bouzid this tuesday at 8h,sidi bouzid,,tuesday,8h
I have to reach sfax next monday before 21h,sfax,,next monday,21h
can I get a cab from office to sidi thabet august 2nd,sidi thabet,office,august 2nd,
خذني من المكتب إلى نابل 28 جويلية الساعة الظهر,نابل,المكتب,28 جويلية,الظهر
ride from home to ariana february 14th at noon,ariana,home,february 14th,noon
take me from la marsa to tataouine december 31st,tataouine,la marsa,december 31st,
من المنزل إلى بن عروس الاثنين القادم,بن عروس,المنزل,الاثنين القادم,
get me a taxi to mrezga sunday at 7h30,mrezga,,sunday,7h30
khodni gafsa nhar el-jemaa el-jay,gafsa,,nhar el-jemaa el-jay,
موعد في سيدي بوزيد الخميس,سيدي بوزيد,,الخميس,
مدنين 10 سبتمبر 10h,مدنين,,10 سبتمبر,10h
taxi lel bizerte 16h30,bizerte,,,16h30
je dois etre a le kef pour 10h,le kef,,,10h
3aybni taxi kasserine el-arba3 11h,kasserine,,el-arba3,11h
أحتاج تاكسي إلى تونس قبل 16h30,تونس,,,16h30
taxi to sfax september 10th,sfax,,september 10th,
is there a taxi to tozeur on wednesday at afternoon,tozeur,,wednesday,afternoon
fama taxi lel medenine 2 aout,medenine,,2 aout,
taxi vers l aeroport le 7 octobre a 16h30,l aeroport,,le 7 octobre,16h30
tnajem tjibli taxi lel nabeul tawwa 13h30,nabeul,,tawwa,13h30
taxi la marsa to sfax may 3rd,sfax,la marsa,may 3rd,
la marsa gabès lundi prochain,gabès,la marsa,lundi prochain,
أحتاج تاكسي نحو المدينة الأولمبية السبت الساعة 21h,المدينة الأولمبية,,السبت,21h
trip from my office to mrezga on wednesday,mrezga,my office,wednesday,
pouvez vous m amener a sousse le 14 février a 8h30,sousse,,le 14 février,8h30
تطاوين 7 أكتوبر,تطاوين,,7 أكتوبر,
taxi men hotel lel sidi thabet ba3d ghodwa,sidi thabet,hotel,ba3d ghodwa,
el aouina tonight,el aouina,,tonight,
tnajem tjibli taxi lel nabeul 15 juin 8h30,nabeul,,15 juin,8h30
أريد الوصول إلى القصرين الأحد القادم قبل صباحا,القصرين,,الأحد القادم,صباحا
take me from sfax to the train station august 2nd,the train station,sfax,august 2nd,
je pars de mon domicile pour manouba lundi,manouba,mon domicile,lundi,
un taxi pour zaghouan le 8 avril a 19h s il vous plait,zaghouan,,le 8 avril,19h
khodni centre ville 7 octobre,centre ville,,7 octobre,
I want to go to the lake saturday,the lake,,saturday,
wein taxi lel mahdia nhar el-jemaa el-jay 19h,mahdia,,nhar el-jemaa el-jay,19h
خذني إلى المدينة الأولمبية الساعة صباحا,المدينة الأولمبية,,,صباحا
taxi depuis carthage jusqu a nabeul le 3 mai,nabeul,carthage,le 3 mai,
قابس السبت,قابس,,السبت,
un taxi pour tozeur le 28 juillet a après-midi s il vous plait,tozeur,,le 28 juillet,après-midi
nemchi gare tawwa,gare,,,
heading to the train station sunday at 15h,the train station,,sunday,15h
I need a taxi to le kef at midnight,le kef,,,midnight
ride from the station to the lake wednesday at 14h,the lake,the station,wednesday,14h
is there a taxi to gammarth on friday at 19h30,gammarth,,friday,19h30
direction le centre,le centre,,,
commande un taxi direction yasmine hammamet le 7 octobre 10h30,yasmine hammamet,,le 7 octobre,10h30
bch nemchi bizerte ghodwa 7h,bizerte,,ghodwa,7h
je veux aller a kébili,kébili,,,
khodni lel yasmine hammamet,yasmine hammamet,,,
can I get a cab from my office to carthage tuesday,carthage,my office,tuesday,
رحلة من المرسى إلى نابل غدا,نابل,المرسى,غدا,
j ai besoin d aller a kébili le 15 juin,kébili,,le 15 juin,
انطلاق من الفندق وصول الزهور السبت في 11h30,الزهور,الفندق,السبت,11h30
can you drive me from the hotel to the airport october 7th,the airport,the hotel,october 7th,
take me to the lake at 8h,the lake,,,8h
from the hotel to djerba on wednesday at 16h30,djerba,the hotel,wednesday,16h30
j ai besoin d un taxi pour kairouan demain a 7h30,kairouan,,demain,7h30
خذني إلى باجة الساعة 20h,باجة,,,20h
I need a ride to mahdia,mahdia,,,
commande un taxi direction el aouina le 28 juillet 17h,el aouina,,le 28 juillet,17h
رحلة من المرسى إلى سوسة الجمعة,سوسة,المرسى,الجمعة,
المرسى باجة الأحد,باجة,المرسى,الأحد,
get me a taxi to monastir thursday at 19h,monastir,,thursday,19h
أريد الانتقال من المحطة إلى حمام الأنف الاثنين,حمام الأنف,المحطة,الاثنين,
أنا في حاجة إلى تاكسي باتجاه جندوبة الأحد القادم 15h,جندوبة,,الأحد القادم,15h
I want to go to tataouine tomorrow at 23h,tataouine,,tomorrow,23h
je pars de mon domicile pour le kef vendredi,le kef,mon domicile,vendredi,
المرسى وسط المدينة الثلاثاء,وسط المدينة,المرسى,الثلاثاء,
tnajem tjibli taxi lel kairouan nhar el-jemaa el-jay 13h30,kairouan,,nhar el-jemaa el-jay,13h30
taxi to gabes,gabes,,,
taxi de mon domicile vers la marsa vendredi prochain a 19h30,la marsa,mon domicile,vendredi prochain,19h30
khodni lel sfax el-ahad 12h30,sfax,,el-ahad,12h30
قرطاج السبت,قرطاج,,السبت,
taxi depuis mon domicile jusqu a mahdia après-demain,mahdia,mon domicile,après-demain,
رحلة من المحطة إلى سيدي بوزيد 10 سبتمبر,سيدي بوزيد,المحطة,10 سبتمبر,
رحلة من المرسى إلى سوسة الأحد القادم,سوسة,المرسى,الأحد القادم,
home to kebili this tuesday,kebili,home,this tuesday,
ez-zouhour today,ez-zouhour,,today,
من قرطاج إلى باردو 22 نوفمبر,باردو,قرطاج,22 نوفمبر,
reserver un taxi le 15 juin 20h pour le centre,le centre,,le 15 juin,20h
من قرطاج إلى باجة غدا 9h,باجة,قرطاج,غدا,9h
taxi vers gafsa dimanche a 15h,gafsa,,dimanche,15h
aller a ben arous dimanche prochain,ben arous,,dimanche prochain,
تاكسي إلى المطار 10 سبتمبر في 7h,المطار,,10 سبتمبر,7h
carthage this saturday 13h30,carthage,,this saturday,13h30
I need a ride to sidi thabet on march 20th at 21h,sidi thabet,,march 20th,21h
drop me at sidi bouzid at 6h30,sidi bouzid,,,6h30
أريد تاكسي ينطلق من المكتب باتجاه الكاف 7 أكتوبر 11h,الكاف,المكتب,7 أكتوبر,11h
pouvez vous me prendre a la gare pour aller a ben arous le 1er janvier 19h,ben arous,la gare,le 1er janvier,19h
book a taxi to sidi bouzid for this sunday,sidi bouzid,,this sunday,
can you drive me from home to downtown on july 28th at 21h,downtown,home,july 28th,21h
تاكسي إلى قابس في 18h,قابس,,,18h
I want to go to le kef april 8th at midnight,le kef,,april 8th,midnight
taxi to mrezga wednesday,mrezga,,wednesday,
انطلاق من المكتب وصول البحيرة الثلاثاء في 23h,البحيرة,المكتب,الثلاثاء,23h
I have to reach kairouan may 3rd before 6h,kairouan,,may 3rd,6h
reserver un taxi le 28 juillet 16h pour yasmine hammamet,yasmine hammamet,,le 28 juillet,16h
reserver un taxi dimanche prochain 10h30 pour kairouan,kairouan,,dimanche prochain,10h30
احجز لي تاكسي إلى المطار يوم اليوم في 23h,المطار,,اليوم,23h
aller a mrezga le 15 juin,mrezga,,le 15 juin,
أريد تاكسي ينطلق من الفندق باتجاه القصرين الاثنين القادم الليل,القصرين,الفندق,الاثنين القادم,الليل
zaghouan 10 septembre dhuhr,zaghouan,,10 septembre,dhuhr
aller a tunis demain,tunis,,demain,
أريانة الاثنين القادم الظهر,أريانة,,الاثنين القادم,الظهر
3aybni taxi men dar lel sidi bouzid el-arba3,sidi bouzid,dar,el-arba3,
المرسى السبت,المرسى,,السبت,
تاكسي من المكتب إلى جربة يوم الجمعة القادمة,جربة,المكتب,الجمعة القادمة,
je vais a mrezga mercredi,mrezga,,mercredi,
je veux aller a kasserine le 8 avril 7h30,kasserine,,le 8 avril,7h30
je dois rejoindre le bardo le 22 novembre pour 13h30,le bardo,,le 22 novembre,13h30
الفندق بنزرت 3 ماي,بنزرت,الفندق,3 ماي,
khodni men bureau lel el aouina el-sebt 6h30,el aouina,bureau,el-sebt,6h30
taxi men ennasr lel beja 15 juin,beja,ennasr,15 juin,
drop me at city center from my office september 10th,city center,my office,september 10th,
taxi men marsa lel beja ghodwa,beja,marsa,ghodwa,
nemchi mahdia 7h30,mahdia,,,7h30
قرطاج المهدية الاثنين,المهدية,قرطاج,الاثنين,
from la marsa to manouba tuesday,manouba,la marsa,tuesday,
direction l aeroport le 3 mai,l aeroport,,le 3 mai,
I need a taxi to the lake march 20th,the lake,,march 20th,
انطلاق من المكتب وصول الزهور الجمعة في 21h,الزهور,المكتب,الجمعة,21h
مدنين الجمعة,مدنين,,الجمعة,
nemchi centre ville 2 aout fel 10h,centre ville,,2 aout,10h
commande un taxi direction mahdia le 28 juillet 16h30,mahdia,,le 28 juillet,16h30
fama taxi yekhdhem men funduk lel bizerte 2 aout 17h,bizerte,funduk,2 aout,17h
nemchi matar 21h,matar,,,21h
أريد الذهاب إلى المدينة الأولمبية,المدينة الأولمبية,,,
3aybni taxi 15 juin fel 11h,,,15 juin,11h
fama taxi lel jendouba lyoum,jendouba,,lyoum,
direction nabeul,nabeul,,,
taxi lel gabes leyl,gabes,,,leyl
wein taxi lel el aouina ghodwa 10h30,el aouina,,ghodwa,10h30
خذني من المكتب إلى توزر الأحد القادم الساعة 14h30,توزر,المكتب,الأحد القادم,14h30
موعد في تطاوين الجمعة,تطاوين,,الجمعة,
combien pour aller de la gare a djerba après-demain 22h,djerba,la gare,après-demain,22h
المطار الأربعاء,المطار,,الأربعاء,
bch nemchi mahdia 15 juin 23h,mahdia,,15 juin,23h
موعد في زغوان الأربعاء,زغوان,,الأربعاء,
أنا ذاهب إلى محطة القطار الثلاثاء,محطة القطار,,الثلاثاء,
pouvez vous m amener a sfax le 8 avril a 15h,sfax,,le 8 avril,15h
nemchi nabeul min el-maktab el-khamis,nabeul,el-maktab,el-khamis,
khodni ezzouhour fel ba3d dhuhr,ezzouhour,,,ba3d dhuhr
je dois arriver a tataouine le 3 mai a 16h,tataouine,,le 3 mai,16h
reserver un taxi le 28 juillet 7h30 pour l'aéroport,l'aéroport,,le 28 juillet,7h30
je veux aller a mahdia,mahdia,,,
from my office to the station on july 28th at 20h,the station,my office,july 28th,20h
aller a siliana mercredi,siliana,,mercredi,
3aybni taxi 7 octobre fel 8h30,,,7 octobre,8h30
المنستير الأحد القادم 14h30,المنستير,,الأحد القادم,14h30
kebili next saturday,kebili,,next saturday,
pouvez vous me prendre a la marsa pour aller a tunis le 20 mars 22h,tunis,la marsa,le 20 mars,22h
احتاج تاكسي من المكتب إلى المهدية السبت,المهدية,المكتب,السبت,
تاكسي إلى وسط المدينة 15 جوان في 15h30,وسط المدينة,,15 جوان,15h30
trajet mon hôtel béja ce soir,béja,mon hôtel,ce soir,
can I get a cab from home to gafsa january 1st,gafsa,home,january 1st,
I need to be at gammarth on september 10th at 8h30,gammarth,,september 10th,8h30
khodni men ennasr lel ezzouhour 22 novembre,ezzouhour,ennasr,22 novembre,
wein taxi lel ben arous 7 octobre nouss el-lil,ben arous,,7 octobre,nouss el-lil
direction ben arous dimanche,ben arous,,dimanche,
take me to ben arous march 20th at 8h30,ben arous,,march 20th,8h30
taxi lel beja,beja,,,
un taxi de mon hôtel vers le lac pour dimanche,le lac,mon hôtel,dimanche,
taxi the hotel to gammarth june 15th,gammarth,the hotel,june 15th,
take me from my office to gabes this saturday,gabes,my office,this saturday,
أريد الذهاب إلى القيروان,القيروان,,,
أريد تاكسي إلى منوبة الأحد القادم,منوبة,,الأحد القادم,
I need a taxi to sfax this tuesday,sfax,,this tuesday,
j ai besoin d un taxi pour sousse mercredi a 23h,sousse,,mercredi,23h
أريد الانتقال من المكتب إلى بن عروس الجمعة القادمة,بن عروس,المكتب,الجمعة القادمة,
trajet mon domicile zaghouan le 15 juin,zaghouan,mon domicile,le 15 juin,
taxi pickup from sfax drop off at el aouina april 8th 19h,el aouina,sfax,april 8th,19h
احتاج تاكسي من قرطاج إلى قابس الخميس في 14h,قابس,قرطاج,الخميس,14h
خذني من المحطة إلى المنستير 10 سبتمبر الساعة الظهر,المنستير,المحطة,10 سبتمبر,الظهر
nemchi hammamet 3 mai fel 18h,hammamet,,3 mai,18h
emmene moi a l aeroport aujourd'hui a 11h,l aeroport,,aujourd'hui,11h
أحتاج أن أصل إلى المنستير 31 ديسمبر,المنستير,,31 ديسمبر,
سوسة اليوم 22h,سوسة,,اليوم,22h
أريد تاكسي إلى سوسة 10 سبتمبر في 10h,سوسة,,10 سبتمبر,10h
book a ride to la marsa december 31st at 16h,la marsa,,december 31st,16h
je dois etre a kairouan le 28 juillet avant 18h,kairouan,,le 28 juillet,18h
taxi de mon domicile vers sidi bou saïd mercredi a 11h30,sidi bou saïd,mon domicile,mercredi,11h30
trip from home to gabes on april 8th,gabes,home,april 8th,
أريد الذهاب إلى المدينة الأولمبية,المدينة الأولمبية,,,
manouba jeudi,manouba,,jeudi,
khodni lel bizerte nhar el-jemaa el-jay 15h,bizerte,,nhar el-jemaa el-jay,15h
خذني إلى المنستير,المنستير,,,
3aybni taxi men dar lel la marsa 3 mai 12h30,la marsa,dar,3 mai,12h30
nemchi sfax tawwa,sfax,,,
je pars de carthage vers le centre-ville le 15 juin a 7h,le centre-ville,carthage,le 15 juin,7h
wein taxi lel kef 10 septembre dhuhr,kef,,10 septembre,dhuhr
taxi depuis mon bureau jusqu a ben arous le 10 septembre,ben arous,mon bureau,le 10 septembre,
un taxi de mon bureau vers siliana pour après-demain,siliana,mon bureau,après-demain,
je veux aller a médenine,médenine,,,
taxi sfax to the airport november 22nd,the airport,sfax,november 22nd,
wein taxi lel gabes,gabes,,,
lazem nkoun fel gafsa tawwa leyl,gafsa,,tawwa,leyl
going to the bardo,the bardo,,,
أريد تاكسي إلى سوسة الثلاثاء,سوسة,,الثلاثاء,
زغوان الأحد القادم 23h,زغوان,,الأحد القادم,23h
أحتاج تاكسي إلى أريانة قبل 14h30,أريانة,,,14h30
siliana tawwa,siliana,,tawwa,
3aybni taxi kef el-ahad 15h,kef,,el-ahad,15h
trajet la gare gabès lundi,gabès,la gare,lundi,
nheb nemchi mahdia 15 juin 13h30,mahdia,,15 juin,13h30
can you get me to the airport by 7h on friday,the airport,,friday,7h
تاكسي إلى وسط المدينة,وسط المدينة,,,
احجز لي تاكسي إلى سوسة يوم الجمعة في 13h,سوسة,,الجمعة,13h
ezzouhour tawwa,ezzouhour,,,
taxi home to le kef next saturday,le kef,home,next saturday,
أريد الوصول إلى وسط المدينة الأربعاء قبل 21h,وسط المدينة,,الأربعاء,21h
la marsa la gare samedi,la gare,la marsa,samedi,
take me from my office to el aouina saturday,el aouina,my office,saturday,
3aybni taxi men ennasr lel kef 3 mai 11h,kef,ennasr,3 mai,11h
أحتاج تاكسي نحو مدنين الثلاثاء الساعة 8h30,مدنين,,الثلاثاء,8h30
أريد تاكسي ينطلق من المرسى باتجاه القيروان السبت 11h,القيروان,المرسى,السبت,11h
fama taxi lel sidi bouzid 22 novembre,sidi bouzid,,22 novembre,
تاكسي إلى سيدي ثابت الجمعة القادمة,سيدي ثابت,,الجمعة القادمة,
أنا في حاجة إلى تاكسي باتجاه المهدية الجمعة القادمة 6h30,المهدية,,الجمعة القادمة,6h30
أريد تاكسي إلى أريانة 3 ماي,أريانة,,3 ماي,
can you drive me from the station to ez-zouhour on this friday at 6h,ez-zouhour,the station,this friday,6h
taxi my office to tataouine next monday,tataouine,my office,next monday,
ben arous 7 octobre 23h,ben arous,,7 octobre,23h
mon domicile sousse le 14 février,sousse,mon domicile,le 14 février,
انطلاق من المرسى وصول سليانة الجمعة في 15h30,سليانة,المرسى,الجمعة,15h30
أنا في حاجة إلى تاكسي باتجاه ياسمين الحمامات الاثنين القادم 8h30,ياسمين الحمامات,,الاثنين القادم,8h30
the station august 2nd 16h,the station,,august 2nd,16h
أحتاج تاكسي نحو سيدي ثابت 31 ديسمبر الساعة 17h30,سيدي ثابت,,31 ديسمبر,17h30
قرطاج توزر 7 أكتوبر,توزر,قرطاج,7 أكتوبر,
khodni lac 22 novembre,lac,,22 novembre,
lazem nkoun fel beja nhar el-itnin el-jay 7h30,beja,,nhar el-itnin el-jay,7h30
kebili el-sebt 16h30,kebili,,el-sebt,16h30
nheb nemchi kairouan el-talata 6h,kairouan,,el-talata,6h
j ai besoin d aller a gabès vendredi prochain,gabès,,vendredi prochain,
المكتب قابس اليوم,قابس,المكتب,اليوم,
احجز لي تاكسي إلى سليانة يوم 15 جوان في منتصف الليل,سليانة,,15 جوان,منتصف الليل
taxi men marsa lel mahdia el-sebt 17h30,mahdia,marsa,el-sebt,17h30
emmene moi a carthage a 11h30,carthage,,,11h30
احجز لي تاكسي إلى سيدي ثابت يوم 28 جويلية في 11h30,سيدي ثابت,,28 جويلية,11h30
3aybni taxi men beit lel djerba lyoum,djerba,beit,lyoum,
can I get a cab from home to the train station march 20th,the train station,home,march 20th,
emmene moi a tunis a 23h,tunis,,,23h
taxi de mon domicile a tozeur le 3 mai,tozeur,mon domicile,le 3 mai,
