text,DESTINATION,DEPARTURE,DATE,TIME
un taxi de carthage vers tunis pour après-demain,tunis,carthage,après-demain,
تاكسي إلى سوسة في 6h30,سوسة,,,6h30
أحتاج تاكسي إلى تطاوين قبل الصباح,تطاوين,,,الصباح
je pars de la gare vers nabeul le 10 septembre a 8h,nabeul,la gare,le 10 septembre,8h
je pars de la gare pour ariana le 3 mai,ariana,la gare,le 3 mai,
taxi men funduk lel gammarth 1 janvier,gammarth,funduk,1 janvier,
going to medenine,medenine,,,
هل يمكنني الذهاب إلى قابس الأحد القادم في 17h,قابس,,الأحد القادم,17h
carthage siliana le 7 octobre,siliana,carthage,le 7 octobre,
tnajem tjibli taxi lel kasserine el-khamis 6h30,kasserine,,el-khamis,6h30
schedule a taxi to tunis for next monday at 18h,tunis,,next monday,18h
خذني إلى الزهور الساعة 14h,الزهور,,,14h
أحتاج تاكسي إلى أريانة قبل 19h,أريانة,,,19h
taxi pour la gare,la gare,,,
أريد الانتقال من المكتب إلى أريانة الجمعة القادمة,أريانة,المكتب,الجمعة القادمة,
تاكسي إلى قابس اليوم في 19h,قابس,,اليوم,19h
taxi de la marsa vers le lac le 28 juillet a 19h,le lac,la marsa,le 28 juillet,19h
توزر 28 جويلية 19h,توزر,,28 جويلية,19h
il me faut un taxi pour le centre-ville aujourd'hui a 16h,le centre-ville,,aujourd'hui,16h
I want to go to jendouba tuesday at 21h,jendouba,,tuesday,21h
heading to sidi thabet this tuesday at 19h,sidi thabet,,this tuesday,19h
djerba el-talata 23h,djerba,,el-talata,23h
drop me at sfax at 16h30,sfax,,,16h30
taxi pour kairouan le 14 février,kairouan,,le 14 février,
pouvez vous me prendre a mon bureau pour aller a gafsa mercredi 11h30,gafsa,mon bureau,mercredi,11h30
khodni djerba fel 6h30,djerba,,,6h30
direction sidi bouzid,sidi bouzid,,,
احتاج تاكسي من المحطة إلى المطار الأحد في 7h,المطار,المحطة,الأحد,7h
gabes 10 septembre 9h30,gabes,,10 septembre,9h30
taxi depuis carthage jusqu a le kef jeudi,le kef,carthage,jeudi,
take me to kairouan at 14h,kairouan,,,14h
تاكسي إلى الكاف السبت في 14h,الكاف,,السبت,14h
j ai besoin d un taxi pour mahdia mardi a 13h30,mahdia,,mardi,13h30
من المحطة إلى ياسمين الحمامات الثلاثاء 15h30,ياسمين الحمامات,المحطة,الثلاثاء,15h30
تاكسي إلى نابل,نابل,,,
fama taxi lel sidi bou said el-talata,sidi bou said,,el-talata,
I want to go to el aouina sunday,el aouina,,sunday,
3aybni taxi carthage 1 janvier 13h,carthage,,1 janvier,13h
wein taxi nhar el-jemaa el-jay 12h,,,nhar el-jemaa el-jay,12h
انطلاق من المرسى وصول الكاف الجمعة القادمة في 10h30,الكاف,المرسى,الجمعة القادمة,10h30
taxi to downtown,downtown,,,
je veux aller a el aouina,el aouina,,,
sfax to monastir tomorrow,monastir,sfax,tomorrow,
nemchi sousse 14h,sousse,,,14h
j ai besoin d aller a sidi thabet aujourd'hui,sidi thabet,,aujourd'hui,
أريد تاكسي ينطلق من قرطاج باتجاه المطار الاثنين القادم 20h,المطار,قرطاج,الاثنين القادم,20h
I need to be at mrezga on next monday at 6h30,mrezga,,next monday,6h30
khodni tunis ghodwa,tunis,,ghodwa,
رحلة من قرطاج إلى زغوان 15 جوان,زغوان,قرطاج,15 جوان,
lazem nkoun fel hammamet ba3d ghodwa 19h,hammamet,,ba3d ghodwa,19h
tnajem tjibli taxi lel bardo tawwa 22h,bardo,,tawwa,22h
أريد تاكسي إلى حمام الأنف الجمعة القادمة في 9h,حمام الأنف,,الجمعة القادمة,9h
أنا في حاجة إلى تاكسي باتجاه العوينة الجمعة 7h30,العوينة,,الجمعة,7h30
أريد الوصول إلى القيروان الاثنين قبل 11h30,القيروان,,الاثنين,11h30
take me from office to medenine october 7th,medenine,office,october 7th,
combien pour aller de carthage a l aeroport vendredi 21h,l aeroport,carthage,vendredi,21h
tunis 15 juin,tunis,,15 juin,
I need a ride from the station to ez-zouhour march 20th at 15h30,ez-zouhour,the station,march 20th,15h30
انطلاق من المنزل وصول القيروان السبت في 9h,القيروان,المنزل,السبت,9h
أنا ذاهب إلى قفصة الجمعة القادمة,قفصة,,الجمعة القادمة,
de la gare jusqu a mrezga vendredi a 6h,mrezga,la gare,vendredi,6h
sousse january 1st,sousse,,january 1st,
I need a ride from la marsa to the olympic city this saturday at 8h30,the olympic city,la marsa,this saturday,8h30
أريد الانتقال من قرطاج إلى المنستير الأربعاء,المنستير,قرطاج,الأربعاء,
موعد في جربة الأربعاء,جربة,,الأربعاء,
أحتاج تاكسي نحو قمرت اليوم الساعة 13h30,قمرت,,اليوم,13h30
I have to reach medenine january 1st before 15h30,medenine,,january 1st,15h30
drop me at tunis at 17h30,tunis,,,17h30
bch nemchi bardo el-jemaa sbeh,bardo,,el-jemaa,sbeh
I need a ride from home to monastir april 8th at 14h30,monastir,home,april 8th,14h30
how much from the station to la marsa october 7th,la marsa,the station,october 7th,
أحتاج تاكسي إلى قبلي قبل منتصف الليل,قبلي,,,منتصف الليل
depart de mon bureau arrivee siliana vendredi 19h30,siliana,mon bureau,vendredi,19h30
j ai besoin d un taxi pour gammarth dimanche a 13h30,gammarth,,dimanche,13h30
3aybni taxi men ennasr lel beja ghodwa,beja,ennasr,ghodwa,
il me faut un taxi pour tozeur lundi a 17h,tozeur,,lundi,17h
3aybni taxi men bureau lel djerba lyoum,djerba,bureau,lyoum,
hammamet après-demain,hammamet,,après-demain,
أنا ذاهب إلى قمرت 10 سبتمبر,قمرت,,10 سبتمبر,
heading to gabes saturday at 7h30,gabes,,saturday,7h30
bch nemchi sidi bouzid 3 mai 9h30,sidi bouzid,,3 mai,9h30
taxi men dar lel la marsa 15 juin,la marsa,dar,15 juin,
get me a taxi to el aouina january 1st at 22h,el aouina,,january 1st,22h
heading to beja october 7th at 8h,beja,,october 7th,8h
chhal el taxi men beit lel sfax lyoum 6h30,sfax,beit,lyoum,6h30
taxi lel medenine,medenine,,,
من المكتب إلى صفاقس 7 أكتوبر 15h30,صفاقس,المكتب,7 أكتوبر,15h30
taxi depuis mon hôtel jusqu a kébili le 14 février,kébili,mon hôtel,le 14 février,
I need a cab leaving sfax going to nabeul this tuesday at 12h30,nabeul,sfax,this tuesday,12h30
wein taxi lel monastir,monastir,,,
conduire de mon domicile a sfax vendredi prochain nuit,sfax,mon domicile,vendredi prochain,nuit
أريد الانتقال من الفندق إلى القصرين الجمعة,القصرين,الفندق,الجمعة,
أريد تاكسي إلى مدنين الأحد في 10h30,مدنين,,الأحد,10h30
is there a taxi to zaghouan on next sunday at 12h30,zaghouan,,next sunday,12h30
أريد تاكسي ينطلق من قرطاج باتجاه البحيرة الأربعاء 18h,البحيرة,قرطاج,الأربعاء,18h
fama taxi yemchi lel sousse tawwa,sousse,,tawwa,
how much from sfax to hammamet april 8th,hammamet,sfax,april 8th,
take me to yasmine hammamet next friday at 10h,yasmine hammamet,,next friday,10h
fama taxi yekhdhem men el-maktab lel tozeur 28 juillet ba3d dhuhr,tozeur,el-maktab,28 juillet,ba3d dhuhr
depart de mon bureau arrivee sfax mardi 21h,sfax,mon bureau,mardi,21h
أحتاج أن أصل إلى قرطاج الجمعة,قرطاج,,الجمعة,
wein taxi lel matar,matar,,,
أحتاج تاكسي نحو باردو 22 نوفمبر الساعة الليل,باردو,,22 نوفمبر,الليل
أنا في حاجة إلى تاكسي باتجاه باجة الاثنين القادم 9h30,باجة,,الاثنين القادم,9h30
trip from the station to mahdia on sunday,mahdia,the station,sunday,
تاكسي من المكتب إلى نابل يوم الأحد,نابل,المكتب,الأحد,
direction kairouan,kairouan,,,
je dois etre a la gare le 3 mai avant 17h,la gare,,le 3 mai,17h
I need a taxi to djerba this sunday,djerba,,this sunday,
I need a ride from the hotel to siliana next sunday at 6h30,siliana,the hotel,next sunday,6h30
3aybni taxi tunis el-arba3 dhuhr,tunis,,el-arba3,dhuhr
taxi depuis mon hôtel jusqu a bizerte le 1er janvier,bizerte,mon hôtel,le 1er janvier,
besoin d un taxi de la marsa pour siliana demain,siliana,la marsa,demain,
I need a ride to sousse on april 8th at 14h30,sousse,,april 8th,14h30
احتاج تاكسي من المنزل إلى قرطاج الاثنين,قرطاج,المنزل,الاثنين,
pouvez vous m amener a hammamet demain a 16h,hammamet,,demain,16h
taxi de la marsa vers gabès le 31 décembre a minuit,gabès,la marsa,le 31 décembre,minuit
please take me to sousse this friday at 8h30,sousse,,friday,8h30
أنا في حاجة إلى تاكسي باتجاه بنزرت الجمعة القادمة 9h,بنزرت,,الجمعة القادمة,9h
nemchi monastir 7h30,monastir,,,7h30
تاكسي إلى المرسى في المساء,المرسى,,,المساء
أحتاج تاكسي إلى أريانة قبل 13h,أريانة,,,13h
je dois rejoindre jendouba mercredi pour 16h30,jendouba,,mercredi,16h30
je dois arriver a le bardo le 7 octobre a 6h,le bardo,,le 7 octobre,6h
need to get to kebili by february 14th,kebili,,february 14th,
تاكسي إلى بنزرت الثلاثاء في 14h30,بنزرت,,الثلاثاء,14h30
aller a ariana le 22 novembre,ariana,,le 22 novembre,
vous pouvez me conduire de mon domicile a sousse vendredi prochain,sousse,mon domicile,vendredi prochain,
book a taxi to gammarth for november 22nd,gammarth,,november 22nd,
أنا ذاهب إلى المدينة الأولمبية 10 سبتمبر,المدينة الأولمبية,,10 سبتمبر,
taxi my office to tunis today,tunis,my office,today,
going to manouba,manouba,,,
khodni men beit lel el aouina 2 aout,el aouina,beit,2 aout,
take me to manouba,manouba,,,
je dois etre a zaghouan le 31 décembre avant 6h,zaghouan,,le 31 décembre,6h
drop me at monastir at 15h,monastir,,,15h
أنا ذاهب إلى أريانة الخميس,أريانة,,الخميس,
direction mahdia,mahdia,,,
take me to sousse,sousse,,,
I need a ride to downtown,downtown,,,
je veux aller a ariana,ariana,,,
رحلة من المكتب إلى المرسى غدا,المرسى,المكتب,غدا,
nemchi zaghouan 22 novembre fel 6h,zaghouan,,22 novembre,6h
nemchi el aouina tawwa,el aouina,,,
nheb nemchi mrezga ba3d ghodwa,mrezga,,ba3d ghodwa,
taxi de carthage a tunis le 8 avril,tunis,carthage,le 8 avril,
get me a taxi to sousse saturday at 18h,sousse,,saturday,18h
nemchi medenine tawwa,medenine,,,
khodni kebili 7 octobre,kebili,,7 octobre,
nheb nemchi mahdia el-sebt,mahdia,,el-sebt,
commande un taxi direction tozeur le 8 avril 19h,tozeur,,le 8 avril,19h
I need a ride to the lake on august 2nd at 11h30,the lake,,august 2nd,11h30
le centre après-demain 13h,le centre,,après-demain,13h
le kef saturday,le kef,,saturday,
je veux aller a le centre-ville vendredi prochain midi,le centre-ville,,vendredi prochain,midi
emmene moi a mahdia,mahdia,,,
vous pouvez me conduire de mon domicile a kairouan le 15 juin,kairouan,mon domicile,le 15 juin,
taxi de carthage a nabeul mardi,nabeul,carthage,mardi,
I need a cab from office to ez-zouhour february 14th,ez-zouhour,office,february 14th,
nheb nemchi sidi thabet lyoum,sidi thabet,,lyoum,
I need a ride from office to nabeul next monday at 6h30,nabeul,office,next monday,6h30
nheb nemchi monastir nhar el-jemaa el-jay 17h,monastir,,nhar el-jemaa el-jay,17h
احتاج تاكسي من المرسى إلى وسط المدينة 3 ماي في 13h,وسط المدينة,المرسى,3 ماي,13h
احجز لي تاكسي إلى العوينة يوم 22 نوفمبر في 7h30,العوينة,,22 نوفمبر,7h30
j ai besoin d aller a nabeul le 8 avril,nabeul,,le 8 avril,
men beit lel kasserine el-talata,kasserine,beit,el-talata,
wein taxi lel sidi bouzid el-itnin 15h,sidi bouzid,,el-itnin,15h
emmene moi a le lac vendredi a 10h30,le lac,,vendredi,10h30
خذني إلى قفصة الخميس في 16h,قفصة,,الخميس,16h
reserver un taxi dimanche 11h pour kairouan,kairouan,,dimanche,11h
aller a le lac le 14 février,le lac,,le 14 février,
le kef thursday 6h,le kef,,thursday,6h
nemchi kebili 7 octobre fel nouss el-lil,kebili,,7 octobre,nouss el-lil
من المنزل إلى مدنين اليوم 16h,مدنين,المنزل,اليوم,16h
men funduk lel ben arous el-khamis,ben arous,funduk,el-khamis,
fama taxi yekhdhem men bureau lel yasmine hammamet el-arba3 8h,yasmine hammamet,bureau,el-arba3,8h
هل يمكنني الذهاب إلى المهدية 3 ماي في 17h30,المهدية,,3 ماي,17h30
من المنزل إلى البحيرة 3 ماي,البحيرة,المنزل,3 ماي,
je pars de la marsa pour gabès après-demain,gabès,la marsa,après-demain,
أريد الذهاب إلى جندوبة 28 جويلية 17h,جندوبة,,28 جويلية,17h
pick me up at sfax and take me to jendouba this tuesday at afternoon,jendouba,sfax,this tuesday,afternoon
yasmine hammamet lundi,yasmine hammamet,,lundi,
taxi lel lac 3 mai,lac,,3 mai,
taxi pour monastir,monastir,,,
توزر 7 أكتوبر,توزر,,7 أكتوبر,
احتاج تاكسي من المرسى إلى المهدية الجمعة,المهدية,المرسى,الجمعة,
أريد الذهاب إلى سيدي بوسعيد 22 نوفمبر 21h,سيدي بوسعيد,,22 نوفمبر,21h
pouvez vous m amener a gafsa après-demain a 20h,gafsa,,après-demain,20h
taxi de mon hôtel vers sfax dimanche prochain a minuit,sfax,mon hôtel,dimanche prochain,minuit
أريد تاكسي ينطلق من قرطاج باتجاه محطة القطار 31 ديسمبر 9h30,محطة القطار,قرطاج,31 ديسمبر,9h30
please take me to bizerte this next friday at 23h,bizerte,,next friday,23h
أريد تاكسي إلى الكاف 10 سبتمبر,الكاف,,10 سبتمبر,
أريد تاكسي إلى المرزكة 22 نوفمبر في 21h,المرزكة,,22 نوفمبر,21h
هل يمكنني الذهاب إلى توزر السبت في 18h,توزر,,السبت,18h
lazem nkoun fel cite olimpik el-khamis 10h30,cite olimpik,,el-khamis,10h30
I need a taxi to beja next friday,beja,,next friday,
خذني إلى صفاقس,صفاقس,,,
depart de la marsa arrivee l aeroport le 7 octobre 13h30,l aeroport,la marsa,le 7 octobre,13h30
fama taxi lel sidi bouzid tawwa,sidi bouzid,,tawwa,
taxi lel kef,kef,,,
book a ride to kasserine december 31st at 10h,kasserine,,december 31st,10h
I need a cab leaving sfax going to el aouina january 1st at 8h,el aouina,sfax,january 1st,8h
un taxi pour siliana le 14 février a 16h30 s il vous plait,siliana,,le 14 février,16h30
I need a cab leaving the station going to kebili may 3rd at midnight,kebili,the station,may 3rd,midnight
j ai besoin d aller a ben arous dimanche prochain,ben arous,,dimanche prochain,
مدنين غدا,مدنين,,غدا,
emmene moi a siliana le 1er janvier a 19h30,siliana,,le 1er janvier,19h30
أنا في حاجة إلى تاكسي باتجاه قمرت 22 نوفمبر المساء,قمرت,,22 نوفمبر,المساء
taxi de mon hôtel vers monastir mardi a midi,monastir,mon hôtel,mardi,midi
تاكسي إلى مدنين الأحد في 10h,مدنين,,الأحد,10h
I want to go to la marsa next friday,la marsa,,next friday,
bch nemchi beja nhar el-itnin el-jay 19h30,beja,,nhar el-itnin el-jay,19h30
خذني من المرسى إلى باردو 7 أكتوبر الساعة 13h,باردو,المرسى,7 أكتوبر,13h
heading to beja september 10th at midnight,beja,,september 10th,midnight
book a ride to medenine tomorrow at 22h,medenine,,tomorrow,22h
conduire de carthage a manouba le 31 décembre 11h,manouba,carthage,le 31 décembre,11h
can I get a cab from the hotel to la marsa today,la marsa,the hotel,today,
taxi lel matar,matar,,,
emmene moi a hammamet,hammamet,,,
prise en charge a mon domicile direction siliana le 1er janvier a 7h,siliana,mon domicile,le 1er janvier,7h
موعد في قابس 28 جويلية,قابس,,28 جويلية,
I need a ride from the hotel to siliana july 28th at 20h,siliana,the hotel,july 28th,20h
احجز لي تاكسي إلى حمام الأنف يوم 10 سبتمبر في 13h30,حمام الأنف,,10 سبتمبر,13h30
take me from the station to kairouan this friday,kairouan,the station,this friday,
nheb nemchi kef 1 janvier,kef,,1 janvier,
I need a cab leaving my office going to mrezga august 2nd at 10h,mrezga,my office,august 2nd,10h
j ai besoin d un taxi pour sidi bou saïd le 20 mars a 6h,sidi bou saïd,,le 20 mars,6h
kebili tawwa,kebili,,,
office to sousse june 15th,sousse,office,june 15th,
أريد الانتقال من الفندق إلى توزر 3 ماي,توزر,الفندق,3 ماي,
أريد الذهاب إلى باردو 22 نوفمبر 6h30,باردو,,22 نوفمبر,6h30
pick me up at the station and take me to gammarth june 15th at 17h30,gammarth,the station,june 15th,17h30
take me to siliana at 22h,siliana,,,22h
je veux un taxi de mon bureau pour carthage samedi a 6h30,carthage,mon bureau,samedi,6h30
la gare mrezga vendredi,mrezga,la gare,vendredi,
besoin d un taxi de mon hôtel pour siliana dimanche prochain,siliana,mon hôtel,dimanche prochain,
from my office to city center thursday,city center,my office,thursday,
هل يمكنني الذهاب إلى العوينة غدا في صباحا,العوينة,,غدا,صباحا
أريد تاكسي ينطلق من المحطة باتجاه جربة 3 ماي 21h,جربة,المحطة,3 ماي,21h
I need a taxi to monastir january 1st,monastir,,january 1st,
un taxi pour ariana dimanche a 15h s il vous plait,ariana,,dimanche,15h
من الفندق إلى أريانة الجمعة 19h,أريانة,الفندق,الجمعة,19h
how much from office to mahdia june 15th,mahdia,office,june 15th,
nheb nemchi sidi thabet el-talata 12h,sidi thabet,,el-talata,12h
je veux aller a la gare,la gare,,,
أريد الوصول إلى المطار 31 ديسمبر قبل 16h,المطار,,31 ديسمبر,16h
تاكسي إلى قفصة في 17h30,قفصة,,,17h30
أريد تاكسي إلى صفاقس 7 أكتوبر في 6h30,صفاقس,,7 أكتوبر,6h30
take me to mahdia october 7th at 20h,mahdia,,october 7th,20h
taxi vers hammamet le 22 novembre a 6h,hammamet,,le 22 novembre,6h
sidi bouzid jeudi,sidi bouzid,,jeudi,
je dois etre a médenine le 28 juillet avant 9h30,médenine,,le 28 juillet,9h30
emmene moi a sfax jeudi a 7h30,sfax,,jeudi,7h30
الزهور 10 سبتمبر,الزهور,,10 سبتمبر,
going to the airport on sunday,the airport,,sunday,
أنا ذاهب إلى بن عروس الخميس,بن عروس,,الخميس,
خذني إلى زغوان الأربعاء في 14h,زغوان,,الأربعاء,14h
taxi vers le centre le 28 juillet a 20h,le centre,,le 28 juillet,20h
khodni sfax nhar el-jemaa el-jay,sfax,,nhar el-jemaa el-jay,
drop me at the bardo at afternoon,the bardo,,,afternoon
lazem nkoun fel sousse ghodwa 14h,sousse,,ghodwa,14h
تاكسي إلى تطاوين,تطاوين,,,
3aybni taxi el-talata fel 19h,,,el-talata,19h
je pars de carthage vers ez-zouhour aujourd'hui a 9h30,ez-zouhour,carthage,aujourd'hui,9h30
احجز لي تاكسي إلى قمرت يوم الثلاثاء في 14h,قمرت,,الثلاثاء,14h
احجز لي تاكسي إلى سيدي بوسعيد يوم 31 ديسمبر في 9h,سيدي بوسعيد,,31 ديسمبر,9h
schedule a taxi to kairouan for this friday at 8h30,kairouan,,this friday,8h30
prise en charge a mon domicile direction ariana lundi prochain a 15h,ariana,mon domicile,lundi prochain,15h
heading to sfax this sunday at 19h,sfax,,this sunday,19h
carthage dimanche,carthage,,dimanche,
je veux aller a hammamet le 31 décembre minuit,hammamet,,le 31 décembre,minuit
la marsa el-ahad 8h,la marsa,,el-ahad,8h
lazem nkoun fel jendouba 1 janvier 6h,jendouba,,1 janvier,6h
أريد الانتقال من الفندق إلى قرطاج غدا,قرطاج,الفندق,غدا,
khodni men beit lel siliana nhar el-itnin el-jay 11h30,siliana,beit,nhar el-itnin el-jay,11h30
هل يمكنني الذهاب إلى القيروان غدا في الصباح,القيروان,,غدا,الصباح
mrezga après-demain 10h30,mrezga,,après-demain,10h30
taxi to the bardo wednesday,the bardo,,wednesday,
khodni sidi bouzid el-itnin,sidi bouzid,,el-itnin,
fama taxi lel kebili 15 juin,kebili,,15 juin,
taxi the station to carthage november 22nd,carthage,the station,november 22nd,
احتاج تاكسي من المنزل إلى المطار غدا في 20h,المطار,المنزل,غدا,20h
fama taxi yemchi lel bardo 28 juillet,bardo,,28 juillet,
خذني من المحطة إلى تطاوين الأحد القادم الساعة المساء,تطاوين,المحطة,الأحد القادم,المساء
direction el aouina lundi,el aouina,,lundi,
تاكسي إلى صفاقس,صفاقس,,,
taxi men marsa lel hammamet 2 aout,hammamet,marsa,2 aout,
kasserine le 28 juillet 21h,kasserine,,le 28 juillet,21h
taxi lel beja 19h,beja,,,19h
mrezga next friday 18h,mrezga,,next friday,18h
nheb nemchi tunis 2 aout 19h,tunis,,2 aout,19h
احتاج تاكسي من المنزل إلى المرسى الجمعة القادمة في 8h30,المرسى,المنزل,الجمعة القادمة,8h30
I need a cab leaving home going to la marsa tuesday at 23h,la marsa,home,tuesday,23h
تاكسي إلى باجة في منتصف الليل,باجة,,,منتصف الليل
تاكسي إلى المدينة الأولمبية,المدينة الأولمبية,,,
أريد الوصول إلى المرسى 28 جويلية قبل 11h30,المرسى,,28 جويلية,11h30
khodni lel sousse,sousse,,,
fama taxi lel tozeur ghodwa,tozeur,,ghodwa,
3aybni taxi ezzouhour 22 novembre 11h,ezzouhour,,22 novembre,11h
combien pour aller de carthage a sidi thabet dimanche 12h30,sidi thabet,carthage,dimanche,12h30
chhal el taxi men funduk lel sidi bouzid 10 septembre 19h,sidi bouzid,funduk,10 septembre,19h
taxi to djerba monday,djerba,,monday,
je veux aller a kasserine lundi prochain 7h30,kasserine,,lundi prochain,7h30
kairouan tomorrow,kairouan,,tomorrow,
rendez vous a l'aéroport le 1er janvier,l'aéroport,,le 1er janvier,
احجز لي تاكسي إلى جندوبة يوم 31 ديسمبر في 6h30,جندوبة,,31 ديسمبر,6h30
pouvez vous m amener a tataouine ce soir a 17h,tataouine,,ce soir,17h
taxi de mon bureau a kébili demain,kébili,mon bureau,demain,
khodni carthage fel 21h,carthage,,,21h
rendez vous a hammamet le 28 juillet,hammamet,,le 28 juillet,
3aybni taxi 3 mai fel 19h,,,3 mai,19h
le centre après-demain,le centre,,après-demain,
je dois etre a médenine le 31 décembre avant 10h,médenine,,le 31 décembre,10h
خذني إلى الزهور الساعة 8h30,الزهور,,,8h30
trip from my office to le kef on next sunday,le kef,my office,next sunday,
un taxi pour kébili le 7 octobre a 19h30 s il vous plait,kébili,,le 7 octobre,19h30
the lake january 1st,the lake,,january 1st,
taxi to ez-zouhour,ez-zouhour,,,
taxi de mon hôtel vers le bardo le 1er janvier a 7h30,le bardo,mon hôtel,le 1er janvier,7h30
office to mrezga april 8th,mrezga,office,april 8th,
taxi vers gammarth a 10h,gammarth,,,10h
taxi lel centre ville 28 juillet,centre ville,,28 juillet,
أريد الانتقال من المرسى إلى حمام الأنف 10 سبتمبر,حمام الأنف,المرسى,10 سبتمبر,
bch nemchi tataouine el-ahad ba3d dhuhr,tataouine,,el-ahad,ba3d dhuhr
men hotel lel tunis el-arba3 fel 7h,tunis,hotel,el-arba3,7h
reserver un taxi ce soir 22h pour le kef,le kef,,ce soir,22h
taxi lel sidi thabet el-khamis,sidi thabet,,el-khamis,
combien pour aller de mon domicile a médenine mardi 19h30,médenine,mon domicile,mardi,19h30
yasmine hammamet tomorrow,yasmine hammamet,,tomorrow,
موعد في توزر الجمعة القادمة,توزر,,الجمعة القادمة,
nheb nemchi jendouba ba3d ghodwa 17h,jendouba,,ba3d ghodwa,17h
vous pouvez me conduire de carthage a mrezga lundi prochain,mrezga,carthage,lundi prochain,
taxi de la gare vers gafsa après-demain a nuit,gafsa,la gare,après-demain,nuit
je dois rejoindre la marsa lundi pour 13h,la marsa,,lundi,13h
taxi lel kef nouss el-lil,kef,,,nouss el-lil
I have to reach the train station this tuesday before 6h30,the train station,,this tuesday,6h30
nheb nemchi carthage el-ahad,carthage,,el-ahad,
taxi men marsa lel ezzouhour ghodwa 11h,ezzouhour,marsa,ghodwa,11h
أنا ذاهب إلى نابل الجمعة القادمة,نابل,,الجمعة القادمة,
je dois rejoindre sidi bou saïd vendredi pour 19h30,sidi bou saïd,,vendredi,19h30
aller a gammarth le 2 août,gammarth,,le 2 août,
أريد الوصول إلى قابس الأربعاء قبل 7h,قابس,,الأربعاء,7h
drop me at le kef from my office tonight,le kef,my office,tonight,
أريد تاكسي إلى جربة الأحد القادم في 16h30,جربة,,الأحد القادم,16h30
combien pour aller de mon domicile a le bardo mardi midi,le bardo,mon domicile,mardi,midi
taxi sfax to djerba next friday,djerba,sfax,next friday,
drop me at le kef at evening,le kef,,,evening
take me to la marsa at 16h30,la marsa,,,16h30
أريد الذهاب إلى سليانة الأحد 11h30,سليانة,,الأحد,11h30
lazem nkoun fel tunis 10 septembre 23h,tunis,,10 septembre,23h
wein taxi lel manouba 1 janvier 12h,manouba,,1 janvier,12h
احجز لي تاكسي إلى منوبة يوم 7 أكتوبر في 16h,منوبة,,7 أكتوبر,16h
taxi men beit lel carthage el-sebt dhuhr,carthage,beit,el-sebt,dhuhr
wein taxi lel monastir el-itnin 7h,monastir,,el-itnin,7h
zaghouan el-talata 16h,zaghouan,,el-talata,16h
تاكسي إلى ياسمين الحمامات,ياسمين الحمامات,,,
أحتاج تاكسي إلى القصرين قبل المساء,القصرين,,,المساء
هل يمكنني الذهاب إلى البحيرة اليوم في صباحا,البحيرة,,اليوم,صباحا
wein taxi lel gabes 2 aout 9h,gabes,,2 aout,9h
my office to the olympic city friday,the olympic city,my office,friday,
taxi to medenine next friday,medenine,,next friday,
taxi lel tunis,tunis,,,
un taxi pour tataouine le 8 avril a 22h s il vous plait,tataouine,,le 8 avril,22h
how much from office to siliana july 28th,siliana,office,july 28th,
take me to the lake january 1st at 23h,the lake,,january 1st,23h
pouvez vous m amener a sfax aujourd'hui a 13h30,sfax,,aujourd'hui,13h30
3aybni taxi men el-maktab lel gabes ba3d ghodwa,gabes,el-maktab,ba3d ghodwa,
المكتب تونس الخميس,تونس,المكتب,الخميس,
est ce qu il y a un taxi pour béja ce soir a 9h,béja,,ce soir,9h
le centre-ville demain 23h,le centre-ville,,demain,23h
أحتاج تاكسي نحو سليانة الجمعة الساعة 9h30,سليانة,,الجمعة,9h30
men funduk lel sidi bouzid nhar el-itnin el-jay fel 18h,sidi bouzid,funduk,nhar el-itnin el-jay,18h
je dois etre a le kef le 7 octobre avant nuit,le kef,,le 7 octobre,nuit
taxi depuis la marsa jusqu a gafsa dimanche,gafsa,la marsa,dimanche,
city center saturday,city center,,saturday,
I need a cab from the hotel to the train station today,the train station,the hotel,today,
from sfax to manouba on august 2nd at 16h,manouba,sfax,august 2nd,16h
from office to kasserine february 14th,kasserine,office,february 14th,
أريد الذهاب إلى سيدي ثابت,سيدي ثابت,,,
take me from the hotel to the lake monday,the lake,the hotel,monday,
